Drones: 3
Drone 1: 0 0
Drone 2: 0 1
Drone 3: 0 2
Aim: *
Objects: 3
Object 1: #
Object 2: %
Object 3: &

15 15

D D D 1 1 0 & 0 0 0 0 0 0 0 *
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0
0 0 0 1 1 0 0 0 0 % 1 1 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0
0 0 0 1 1 0 0 0 0 0 1 1 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
# 0 0 0 0 0 0 0 0 0 1 1 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
